product_id,name,category,price_cents,in_stock,supplier_country
SKU0001,Mini Bottle,Beauty,741,true,US
SKU0002,Pro Mat,Books,1981,false,US
SKU0003,Pro Backpack,Electronics,581,true,FR
SKU0004,Pro Knife,Books,3346,true,ES
SKU0005,Travel Sneaker,Toys,2106,true,ES
SKU0006,Premium Charger,Electronics,1173,false,US
SKU0007,Eco Pillow,Electronics,619,false,US
SKU0008,Travel Notebook,Home,2608,false,US
SKU0009,Mini Brush,Grocery,2365,true,ES
SKU0010,Eco Camera,Home,1092,false,US
SKU0011,Vintage Camera,Grocery,3240,true,US
SKU0012,Travel Knife,Grocery,541,true,AU
SKU0013,Eco Tripod,Home,4784,true,US
SKU0014,Vintage Notebook,Home,2243,true,US
SKU0015,Premium Lamp,Grocery,3301,true,VN
SKU0016,Mini Headset,Apparel,701,true,GB
SKU0017,Eco Charger,Books,1460,true,GB
SKU0018,Pro Brush,Books,1937,false,FR
SKU0019,Premium Tripod,Beauty,2039,true,GB
SKU0020,Studio Shirt,Electronics,6142,true,AU
SKU0021,Vintage Knife,Electronics,731,true,US
SKU0022,Studio Charger,Electronics,890,false,DE
SKU0023,Mini Camera,Grocery,2615,true,US
SKU0024,Classic Knife,Toys,1584,true,BR
SKU0025,Smart Pillow,Electronics,951,true,US
SKU0026,Eco Camera,Books,1628,true,GB
SKU0027,Smart Sneaker,Apparel,926,true,US
SKU0028,Smart Sneaker,Outdoors,1141,true,US
SKU0029,Eco Mat,Electronics,991,true,US
SKU0030,Mini Hat,Outdoors,2323,true,US
SKU0031,Mini Knife,Grocery,1331,true,US
SKU0032,Classic Wallet,Apparel,1223,true,VN
SKU0033,Travel Lamp,Home,981,true,VN
SKU0034,Eco Camera,Grocery,1736,true,JP
SKU0035,Classic Brush,Beauty,539,true,CA
SKU0036,Travel Bottle,Outdoors,1224,true,US
SKU0037,Smart Glove,Toys,1890,true,US
SKU0038,Mini Camera,Grocery,564,true,US
SKU0039,Vintage Knife,Beauty,3312,false,BR
SKU0040,Smart Glove,Books,697,true,US
SKU0041,Studio Mug,Toys,2840,true,VN
SKU0042,Premium Sneaker,Home,2480,true,DE
SKU0043,Pro Mug,Outdoors,2980,true,US
SKU0044,Vintage Brush,Home,2482,true,GB
SKU0045,Pro Mug,Books,1704,false,DE
SKU0046,Smart Notebook,Books,838,false,JP
SKU0047,Classic Tripod,Outdoors,1735,true,VN
SKU0048,Premium Bottle,Beauty,1267,true,US
SKU0049,Studio Hat,Toys,1403,true,US
SKU0050,Lite Tripod,Apparel,5065,false,GB
SKU0051,Premium Shirt,Books,380,true,AU
SKU0052,Pro Glove,Apparel,2897,true,JP
SKU0053,Studio Mat,Electronics,1804,true,BR
SKU0054,Vintage Speaker,Electronics,2172,false,JP
SKU0055,Lite Charger,Apparel,1225,true,DE
SKU0056,Eco Tripod,Grocery,770,true,US
SKU0057,Vintage Mug,Outdoors,518,true,DE
SKU0058,Eco Mat,Books,3744,true,US
SKU0059,Travel Camera,Electronics,1210,true,GB
SKU0060,Travel Pillow,Outdoors,4175,true,US
SKU0061,Classic Tripod,Apparel,3467,true,US
SKU0062,Classic Vase,Toys,3654,true,GB
SKU0063,Eco Speaker,Outdoors,1839,true,ES
SKU0064,Classic Hat,Toys,3073,true,AU
SKU0065,Travel Speaker,Grocery,949,false,US
SKU0066,Travel Wallet,Grocery,2625,true,JP
SKU0067,Smart Brush,Home,2579,true,JP
SKU0068,Smart Headset,Beauty,782,true,GB
SKU0069,Classic Glove,Beauty,3981,true,BR
SKU0070,Eco Hat,Home,1351,false,BR
SKU0071,Smart Knife,Beauty,1302,true,VN
SKU0072,Premium Notebook,Toys,999,true,US
SKU0073,Lite Pillow,Apparel,5362,true,US
SKU0074,Premium Mug,Apparel,679,true,US
SKU0075,Mini Lamp,Outdoors,970,true,US
SKU0076,Mini Lamp,Home,1047,true,US
SKU0077,Vintage Headset,Electronics,2877,true,FR
SKU0078,Lite Vase,Home,919,true,BR
